Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 20.00      0.10     0.10 157363290     0.00     0.00  cv::Mat::release()
 13.00      0.17     0.07                             cv::Mat::operator=(cv::Mat const&)
 10.00      0.22     0.05 157347370     0.00     0.00  cv::Mat::MStep::operator[](int) const
 10.00      0.27     0.05     2400     0.02     0.05  cv::Mat::Mat(cv::Mat const&)
  9.00      0.31     0.05      990     0.05     0.05  std::vector<cv::Mat*, std::allocator<cv::Mat*> >::size() const
  8.00      0.35     0.04    89654     0.00     0.00  cv::Rect_<int>::Rect_(cv::Rect_<int> const&)
  5.00      0.38     0.03     3120     0.01     0.04  cv::Mat::~Mat()
  4.00      0.40     0.02 58122117     0.00     0.00  cv::Mat::MSize::MSize(int*)
  4.00      0.42     0.02      480     0.04     0.04  std::vector<cv::Mat, std::allocator<cv::Mat> >::size() const
  2.00      0.43     0.01 157347327     0.00     0.00  cv::Mat::MStep::operator[](int)
  2.00      0.44     0.01   117779     0.00     0.00  boost::multi_index::detail::sequenced_index_node_impl<std::allocator<char> >::next()
  2.00      0.45     0.01    89894     0.00     0.00  cv::Point_<int>::Point_(cv::Point_<int> const&)
  2.00      0.46     0.01    14819     0.00     0.00  boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> >::basic_ptree(boost::property_tree::basic_ptree<std::string, std::string, std::less<std::string> > const&)
  2.00      0.47     0.01     5040     0.00     0.00  std::vector<CParamset, std::allocator<CParamset> >::_M_range_check(unsigned long) const
  2.00      0.48     0.01      240     0.04     0.24  std::vector<CParamset, std::allocator<CParamset> >::push_back(CParamset const&)
  2.00      0.49     0.01       87     0.11     0.11  std::vector<CRTree*, std::allocator<CRTree*> >::size() const
  1.00      0.49     0.01     1111     0.00     0.00  void std::_Destroy_aux<true>::__destroy<int*>(int*, int*)
  1.00      0.50     0.01      720     0.01     0.01  std::allocator<cv::Mat>::allocator()
  1.00      0.50     0.01                             cv::Rect_<int>::operator=(cv::Rect_<int> const&)
  0.00      0.50     0.00 58122117     0.00     0.00  cv::Mat::MStep::MStep()
  0.00      0.50     0.00 38203366     0.00     0.00  std::vector<CParamset, std::allocator<CParamset> >::size() const
